,Classic multiplier,n,Original Strassen,Vinograd-Strassen
0,1.2499999999526779e-05,0,,
1,,0,2.640000000031506e-05,
2,,0,,1.6700000000646753e-05
3,1.8600000000645878e-05,1,,
4,,1,4.500000000007276e-05,
5,,1,,4.76999999996508e-05
6,4.8000000000492093e-05,2,,
7,,2,0.00037269999999978154,
8,,2,,0.0002195000000000391
9,0.00028329999999954225,3,,
10,,3,0.00136219999999998,
11,,3,,0.0012885000000002478
12,0.0021421000000003687,4,,
13,,4,0.011283800000000177,
14,,4,,0.009495400000000487
15,0.020503599999999622,5,,
16,,5,0.09182869999999976,
17,,5,,0.06893320000000003
18,0.15824959999999955,6,,
19,,6,0.7671000999999995,
20,,6,,0.4553660999999991
21,1.3073899000000004,7,,
22,,7,4.5944223,
23,,7,,2.834162000000001
24,7.879682500000001,8,,
25,,8,32.8959435,
26,,8,,18.253453099999994
27,64.30397529999999,9,,
28,,9,258.4273989,
29,,9,,127.53206489999997
30,520.7045866,10,,
31,,10,2086.9893215,
32,,10,,891.9211213000003
33,4266.7555821999995,11,,
34,,11,16104.6337011,
35,,11,,6060.2166669
36,36318.7481478,12,,
